abs_code,week_date,season,y,population,ses
35,2011-10-03,2011-2012,1,99,3
43,2011-10-03,2011-2012,1,137,1
51,2011-10-03,2011-2012,1,81,2
59,2011-10-03,2011-2012,1,77,3
64,2011-10-03,2011-2012,1,75,4
70,2011-10-03,2011-2012,1,63,4
71,2011-10-03,2011-2012,3,146,2
91,2011-10-03,2011-2012,2,186,3
138,2011-10-03,2011-2012,1,165,3
155,2011-10-03,2011-2012,4,132,3
171,2011-10-03,2011-2012,5,186,3
172,2011-10-03,2011-2012,2,197,4
177,2011-10-03,2011-2012,1,39,3
178,2011-10-03,2011-2012,1,62,3
184,2011-10-03,2011-2012,3,81,4
187,2011-10-03,2011-2012,1,64,3
207,2011-10-03,2011-2012,1,191,3
208,2011-10-03,2011-2012,1,182,3
223,2011-10-03,2011-2012,5,77,4
224,2011-10-03,2011-2012,1,79,4
249,2011-10-03,2011-2012,1,66,3
253,2011-10-03,2011-2012,1,72,2
254,2011-10-03,2011-2012,1,88,3
256,2011-10-03,2011-2012,1,134,3
266,2011-10-03,2011-2012,1,131,3
271,2011-10-03,2011-2012,4,126,2
272,2011-10-03,2011-2012,1,52,2
285,2011-10-03,2011-2012,2,174,3
286,2011-10-03,2011-2012,2,119,2
293,2011-10-03,2011-2012,1,104,3
316,2011-10-03,2011-2012,3,105,3
317,2011-10-03,2011-2012,1,114,3
320,2011-10-03,2011-2012,1,171,3
336,2011-10-03,2011-2012,1,82,4
348,2011-10-03,2011-2012,6,131,3
376,2011-10-03,2011-2012,1,124,3
380,2011-10-03,2011-2012,1,86,3
385,2011-10-03,2011-2012,2,76,3
396,2011-10-03,2011-2012,1,114,2
405,2011-10-03,2011-2012,2,79,-1
7,2011-10-03,2011-2012,1,38,3
19,2011-10-03,2011-2012,1,112,4
47,2011-10-03,2011-2012,1,70,2
49,2011-10-03,2011-2012,1,65,2
55,2011-10-03,2011-2012,1,107,3
69,2011-10-03,2011-2012,1,90,4
95,2011-10-03,2011-2012,2,95,2
98,2011-10-03,2011-2012,1,81,3
126,2011-10-03,2011-2012,2,164,2
148,2011-10-03,2011-2012,1,142,4
154,2011-10-03,2011-2012,1,119,4
156,2011-10-03,2011-2012,1,109,4
161,2011-10-03,2011-2012,1,193,3
166,2011-10-03,2011-2012,1,95,3
174,2011-10-03,2011-2012,3,27,3
185,2011-10-03,2011-2012,1,25,3
189,2011-10-03,2011-2012,2,163,4
191,2011-10-03,2011-2012,2,75,3
192,2011-10-03,2011-2012,1,98,3
201,2011-10-03,2011-2012,3,181,3
273,2011-10-03,2011-2012,1,74,2
277,2011-10-03,2011-2012,2,107,4
284,2011-10-03,2011-2012,4,112,4
290,2011-10-03,2011-2012,3,86,4
291,2011-10-03,2011-2012,3,104,4
298,2011-10-03,2011-2012,2,48,4
302,2011-10-03,2011-2012,2,195,3
304,2011-10-03,2011-2012,1,120,3
312,2011-10-03,2011-2012,2,87,4
322,2011-10-03,2011-2012,3,47,4
349,2011-10-03,2011-2012,1,110,3
366,2011-10-03,2011-2012,3,122,2
367,2011-10-03,2011-2012,1,61,2
401,2011-10-03,2011-2012,1,142,3
40,2011-10-03,2011-2012,1,81,1
50,2011-10-03,2011-2012,1,86,2
54,2011-10-03,2011-2012,1,120,3
74,2011-10-03,2011-2012,1,132,4
78,2011-10-03,2011-2012,1,62,3
97,2011-10-03,2011-2012,1,114,2
100,2011-10-03,2011-2012,1,182,3
119,2011-10-03,2011-2012,1,233,4
164,2011-10-03,2011-2012,1,173,3
167,2011-10-03,2011-2012,1,47,3
238,2011-10-03,2011-2012,2,96,2
263,2011-10-03,2011-2012,1,153,3
265,2011-10-03,2011-2012,1,133,3
294,2011-10-03,2011-2012,1,96,4
296,2011-10-03,2011-2012,1,104,4
306,2011-10-03,2011-2012,1,110,4
319,2011-10-03,2011-2012,1,101,2
335,2011-10-03,2011-2012,1,65,2
369,2011-10-03,2011-2012,1,105,2
383,2011-10-03,2011-2012,1,76,3
397,2011-10-03,2011-2012,1,98,3
15,2011-10-03,2011-2012,1,237,3
34,2011-10-03,2011-2012,1,51,4
42,2011-10-03,2011-2012,1,88,1
48,2011-10-03,2011-2012,1,73,2
113,2011-10-03,2011-2012,1,72,4
115,2011-10-03,2011-2012,1,125,3
118,2011-10-03,2011-2012,1,29,3
217,2011-10-03,2011-2012,1,19,3
230,2011-10-03,2011-2012,1,154,3
245,2011-10-03,2011-2012,2,117,3
260,2011-10-03,2011-2012,1,93,4
280,2011-10-03,2011-2012,1,91,4
299,2011-10-03,2011-2012,1,97,3
305,2011-10-03,2011-2012,3,108,2
331,2011-10-03,2011-2012,2,81,2
340,2011-10-03,2011-2012,1,139,4
359,2011-10-03,2011-2012,2,157,3
371,2011-10-03,2011-2012,1,108,3
39,2011-10-03,2011-2012,1,78,1
63,2011-10-03,2011-2012,1,84,4
77,2011-10-03,2011-2012,1,72,2
80,2011-10-03,2011-2012,1,23,3
122,2011-10-03,2011-2012,1,108,3
123,2011-10-03,2011-2012,1,127,2
127,2011-10-03,2011-2012,1,104,3
141,2011-10-03,2011-2012,1,142,3
198,2011-10-03,2011-2012,1,47,4
211,2011-10-03,2011-2012,1,80,2
214,2011-10-03,2011-2012,1,71,3
222,2011-10-03,2011-2012,1,86,3
255,2011-10-03,2011-2012,1,145,3
300,2011-10-03,2011-2012,1,73,4
315,2011-10-03,2011-2012,3,175,3
