abs_code,season,immunised,reference_population,immunisation_intensity_raw,immunisation_intensity,intensity_issue
0,2023-2024,22,29,0.758620689655172,0.417241379310345,valid
1,2023-2024,82,48,1.70833333333333,0.939583333333333,valid
2,2023-2024,202,119,1.69747899159664,0.933613445378151,valid
3,2023-2024,78,47,1.65957446808511,0.912765957446809,valid
4,2023-2024,320,189,1.69312169312169,0.931216931216931,valid
5,2023-2024,108,63,1.71428571428571,0.942857142857143,valid
7,2023-2024,70,49,1.42857142857143,0.785714285714286,valid
8,2023-2024,136,91,1.49450549450549,0.821978021978022,valid
9,2023-2024,242,144,1.68055555555556,0.924305555555556,valid
10,2023-2024,194,112,1.73214285714286,0.952678571428572,valid
11,2023-2024,132,69,1.91304347826087,1.05217391304348,valid
12,2023-2024,76,39,1.94871794871795,1.07179487179487,valid
13,2023-2024,538,322,1.67080745341615,0.918944099378882,valid
14,2023-2024,262,158,1.65822784810127,0.912025316455696,valid
15,2023-2024,322,190,1.69473684210526,0.932105263157895,valid
16,2023-2024,84,53,1.58490566037736,0.871698113207547,valid
17,2023-2024,148,110,1.34545454545455,0.74,valid
18,2023-2024,138,89,1.55056179775281,0.852808988764045,valid
19,2023-2024,452,265,1.70566037735849,0.93811320754717,valid
20,2023-2024,294,171,1.71929824561404,0.945614035087719,valid
21,2023-2024,352,208,1.69230769230769,0.930769230769231,valid
22,2023-2024,252,162,1.55555555555556,0.855555555555556,valid
23,2023-2024,300,181,1.65745856353591,0.911602209944751,valid
24,2023-2024,182,117,1.55555555555556,0.855555555555556,valid
25,2023-2024,334,229,1.45851528384279,0.802183406113537,valid
27,2023-2024,162,105,1.54285714285714,0.848571428571429,valid
28,2023-2024,200,129,1.55038759689923,0.852713178294574,valid
29,2023-2024,160,93,1.72043010752688,0.946236559139785,valid
30,2023-2024,206,133,1.54887218045113,0.85187969924812,valid
31,2023-2024,186,121,1.53719008264463,0.845454545454546,valid
32,2023-2024,248,154,1.61038961038961,0.885714285714286,valid
33,2023-2024,192,117,1.64102564102564,0.902564102564103,valid
34,2023-2024,184,104,1.76923076923077,0.973076923076923,valid
35,2023-2024,414,262,1.58015267175573,0.869083969465649,valid
36,2023-2024,194,132,1.46969696969697,0.808333333333333,valid
38,2023-2024,270,164,1.64634146341463,0.905487804878049,valid
39,2023-2024,256,166,1.5421686746988,0.848192771084337,valid
40,2023-2024,208,134,1.55223880597015,0.853731343283582,valid
