campanya,codi_abs,recompte,poblacio,index_socioeconomic,sexe
VRS: Campanya 2023,0,16,15,-1,Dona
VRS: Campanya 2023,0,6,14,-1,Home
VRS: Campanya 2023,1,40,25,3,Home
VRS: Campanya 2023,1,42,23,3,Dona
VRS: Campanya 2023,2,102,61,4,Dona
VRS: Campanya 2023,2,100,58,4,Home
VRS: Campanya 2023,3,34,21,4,Home
VRS: Campanya 2023,3,44,26,4,Dona
VRS: Campanya 2023,4,160,100,4,Dona
VRS: Campanya 2023,4,160,89,4,Home
VRS: Campanya 2023,5,46,23,3,Home
VRS: Campanya 2023,5,62,40,3,Dona
VRS: Campanya 2023,7,34,25,3,Dona
VRS: Campanya 2023,7,36,24,3,Home
VRS: Campanya 2023,8,64,44,3,Dona
VRS: Campanya 2023,8,72,47,3,Home
VRS: Campanya 2023,9,120,74,3,Home
VRS: Campanya 2023,9,122,70,3,Dona
VRS: Campanya 2023,10,96,54,2,Home
VRS: Campanya 2023,10,98,58,2,Dona
VRS: Campanya 2023,11,64,35,3,Home
VRS: Campanya 2023,11,68,34,3,Dona
VRS: Campanya 2023,12,42,22,3,Home
VRS: Campanya 2023,12,34,17,3,Dona
VRS: Campanya 2023,13,284,175,4,Home
VRS: Campanya 2023,13,254,147,4,Dona
VRS: Campanya 2023,14,120,74,4,Home
VRS: Campanya 2023,14,142,84,4,Dona
VRS: Campanya 2023,15,162,96,3,Home
VRS: Campanya 2023,15,160,94,3,Dona
VRS: Campanya 2023,16,40,24,4,Home
VRS: Campanya 2023,16,44,29,4,Dona
VRS: Campanya 2023,17,74,56,3,Home
VRS: Campanya 2023,17,74,54,3,Dona
VRS: Campanya 2023,18,68,42,3,Dona
VRS: Campanya 2023,18,70,47,3,Home
VRS: Campanya 2023,19,230,135,4,Dona
VRS: Campanya 2023,19,222,130,4,Home
VRS: Campanya 2023,20,136,78,4,Home
VRS: Campanya 2023,20,158,93,4,Dona
VRS: Campanya 2023,21,174,102,2,Dona
VRS: Campanya 2023,21,178,106,2,Home
VRS: Campanya 2023,22,132,85,2,Home
VRS: Campanya 2023,22,120,77,2,Dona
VRS: Campanya 2023,23,128,81,1,Dona
VRS: Campanya 2023,23,172,100,1,Home
VRS: Campanya 2023,24,104,67,2,Home
VRS: Campanya 2023,24,78,50,2,Dona
VRS: Campanya 2023,25,172,117,1,Dona
VRS: Campanya 2023,25,162,112,1,Home
VRS: Campanya 2023,27,84,53,1,Dona
VRS: Campanya 2023,27,78,52,1,Home
VRS: Campanya 2023,28,104,70,2,Dona
VRS: Campanya 2023,28,96,59,2,Home
VRS: Campanya 2023,29,76,45,2,Dona
VRS: Campanya 2023,29,84,48,2,Home
VRS: Campanya 2023,30,92,62,2,Dona
VRS: Campanya 2023,30,114,71,2,Home
VRS: Campanya 2023,31,108,69,2,Home
VRS: Campanya 2023,31,78,52,2,Dona
VRS: Campanya 2023,32,118,76,3,Home
VRS: Campanya 2023,32,130,78,3,Dona
VRS: Campanya 2023,33,104,67,3,Home
VRS: Campanya 2023,33,88,50,3,Dona
VRS: Campanya 2023,34,82,47,4,Dona
VRS: Campanya 2023,34,102,57,4,Home
VRS: Campanya 2023,35,206,127,3,Dona
VRS: Campanya 2023,35,208,135,3,Home
VRS: Campanya 2023,36,98,62,3,Home
VRS: Campanya 2023,36,96,70,3,Dona
VRS: Campanya 2023,38,122,75,2,Dona
VRS: Campanya 2023,38,148,89,2,Home
VRS: Campanya 2023,39,114,70,1,Dona
VRS: Campanya 2023,39,142,96,1,Home
VRS: Campanya 2023,40,106,67,1,Dona
VRS: Campanya 2023,40,102,67,1,Home
VRS: Campanya 2023,41,158,96,1,Dona
VRS: Campanya 2023,41,154,92,1,Home
VRS: Campanya 2023,42,118,76,1,Dona
VRS: Campanya 2023,42,122,78,1,Home
VRS: Campanya 2023,43,192,112,1,Home
VRS: Campanya 2023,43,172,109,1,Dona
VRS: Campanya 2023,44,90,59,1,Dona
VRS: Campanya 2023,44,104,62,1,Home
VRS: Campanya 2023,45,62,42,1,Dona
VRS: Campanya 2023,45,92,53,1,Home
VRS: Campanya 2023,46,168,97,1,Home
VRS: Campanya 2023,46,164,96,1,Dona
VRS: Campanya 2023,47,126,73,2,Dona
VRS: Campanya 2023,47,116,71,2,Home
VRS: Campanya 2023,48,122,74,2,Home
VRS: Campanya 2023,48,138,84,2,Dona
VRS: Campanya 2023,49,96,56,2,Dona
VRS: Campanya 2023,49,90,51,2,Home
VRS: Campanya 2023,50,94,57,2,Dona
VRS: Campanya 2023,50,118,69,2,Home
VRS: Campanya 2023,51,94,60,2,Dona
VRS: Campanya 2023,51,128,71,2,Home
VRS: Campanya 2023,52,36,46,2,Dona
VRS: Campanya 2023,52,46,47,2,Home
VRS: Campanya 2023,53,126,74,3,Home
VRS: Campanya 2023,53,124,73,3,Dona
VRS: Campanya 2023,54,168,93,3,Home
VRS: Campanya 2023,54,114,67,3,Dona
VRS: Campanya 2023,55,162,92,3,Dona
VRS: Campanya 2023,55,150,96,3,Home
VRS: Campanya 2023,56,108,61,2,Home
VRS: Campanya 2023,56,124,69,2,Dona
VRS: Campanya 2023,59,114,70,3,Dona
VRS: Campanya 2023,59,146,81,3,Home
VRS: Campanya 2023,62,106,62,3,Home
VRS: Campanya 2023,62,94,60,3,Dona
VRS: Campanya 2023,63,118,77,4,Home
VRS: Campanya 2023,63,128,72,4,Dona
VRS: Campanya 2023,64,94,57,4,Home
VRS: Campanya 2023,64,126,73,4,Dona
VRS: Campanya 2023,65,172,107,2,Dona
VRS: Campanya 2023,65,156,100,2,Home
VRS: Campanya 2023,67,172,102,2,Dona
VRS: Campanya 2023,67,164,100,2,Home
VRS: Campanya 2023,69,90,51,4,Dona
VRS: Campanya 2023,69,116,67,4,Home
VRS: Campanya 2023,70,104,57,4,Home
VRS: Campanya 2023,70,80,45,4,Dona
VRS: Campanya 2023,71,186,111,2,Home
VRS: Campanya 2023,71,118,72,2,Dona
VRS: Campanya 2023,72,148,104,2,Dona
VRS: Campanya 2023,72,138,97,2,Home
VRS: Campanya 2023,73,98,59,2,Dona
VRS: Campanya 2023,73,102,64,2,Home
VRS: Campanya 2023,74,140,86,4,Dona
VRS: Campanya 2023,74,174,108,4,Home
VRS: Campanya 2023,75,86,52,2,Home
VRS: Campanya 2023,75,108,59,2,Dona
VRS: Campanya 2023,76,112,65,2,Dona
VRS: Campanya 2023,76,130,85,2,Home
VRS: Campanya 2023,77,114,75,2,Home
VRS: Campanya 2023,77,102,68,2,Dona
VRS: Campanya 2023,78,98,61,3,Dona
VRS: Campanya 2023,78,102,62,3,Home
VRS: Campanya 2023,79,54,36,4,Dona
VRS: Campanya 2023,79,68,47,4,Home
VRS: Campanya 2023,80,26,16,3,Home
VRS: Campanya 2023,80,24,13,3,Dona
VRS: Campanya 2023,81,46,24,3,Home
VRS: Campanya 2023,81,42,23,3,Dona
VRS: Campanya 2023,82,108,67,3,Home
VRS: Campanya 2023,82,64,45,3,Dona
VRS: Campanya 2023,83,30,18,3,Home
VRS: Campanya 2023,83,36,20,3,Dona
VRS: Campanya 2023,84,112,60,3,Home
VRS: Campanya 2023,84,98,53,3,Dona
VRS: Campanya 2023,85,210,119,3,Home
VRS: Campanya 2023,85,178,97,3,Dona
VRS: Campanya 2023,86,76,40,3,Dona
VRS: Campanya 2023,86,94,57,3,Home
VRS: Campanya 2023,87,30,17,3,Dona
VRS: Campanya 2023,87,40,23,3,Home
VRS: Campanya 2023,88,40,23,3,Home
VRS: Campanya 2023,88,44,26,3,Dona
VRS: Campanya 2023,89,116,71,3,Home
VRS: Campanya 2023,89,104,69,3,Dona
VRS: Campanya 2023,90,52,39,4,Dona
VRS: Campanya 2023,90,80,45,4,Home
VRS: Campanya 2023,91,202,132,3,Dona
VRS: Campanya 2023,91,198,118,3,Home
VRS: Campanya 2023,92,1,2,3,Dona
VRS: Campanya 2023,92,14,8,3,Home
VRS: Campanya 2023,93,74,45,3,Home
VRS: Campanya 2023,93,98,65,3,Dona
VRS: Campanya 2023,95,104,61,2,Home
VRS: Campanya 2023,95,100,62,2,Dona
VRS: Campanya 2023,96,12,7,3,Dona
VRS: Campanya 2023,96,14,9,3,Home
VRS: Campanya 2023,97,122,68,2,Dona
VRS: Campanya 2023,97,122,74,2,Home
VRS: Campanya 2023,98,100,54,3,Home
VRS: Campanya 2023,98,90,52,3,Dona
VRS: Campanya 2023,100,190,113,3,Dona
VRS: Campanya 2023,100,198,114,3,Home
VRS: Campanya 2023,101,46,30,3,Home
VRS: Campanya 2023,101,66,38,3,Dona
VRS: Campanya 2023,102,52,34,3,Dona
VRS: Campanya 2023,102,86,49,3,Home
VRS: Campanya 2023,103,82,62,3,Home
VRS: Campanya 2023,103,72,52,3,Dona
VRS: Campanya 2023,104,88,48,2,Dona
VRS: Campanya 2023,104,70,40,2,Home
VRS: Campanya 2023,105,100,53,2,Home
VRS: Campanya 2023,105,84,45,2,Dona
VRS: Campanya 2023,106,88,51,3,Home
VRS: Campanya 2023,106,58,37,3,Dona
VRS: Campanya 2023,107,32,29,4,Home
VRS: Campanya 2023,107,54,39,4,Dona
VRS: Campanya 2023,108,168,103,3,Dona
VRS: Campanya 2023,108,154,93,3,Home
VRS: Campanya 2023,109,134,83,4,Home
VRS: Campanya 2023,109,136,77,4,Dona
VRS: Campanya 2023,110,58,33,3,Home
VRS: Campanya 2023,110,46,26,3,Dona
VRS: Campanya 2023,111,98,58,3,Home
VRS: Campanya 2023,111,110,65,3,Dona
