season,week_date,week_in_season,total_cases,total_population,n_abs,treated,incidence_per_100k
2011-2012,2011-10-03,14,197,14451,135,0,1363.22745830738
2011-2012,2011-10-10,15,215,16062,141,0,1338.56306811107
2011-2012,2011-10-17,16,266,18527,168,0,1435.74242996708
2011-2012,2011-10-24,17,240,18335,167,0,1308.9719116444
2011-2012,2011-10-31,18,233,16871,156,0,1381.0681050323
2011-2012,2011-11-07,19,266,17872,161,0,1488.36168307968
2011-2012,2011-11-14,20,310,20620,189,0,1503.39476236663
2011-2012,2011-11-21,21,439,23656,217,0,1855.7659790328
2011-2012,2011-11-28,22,684,29337,271,0,2331.52674097556
2011-2012,2011-12-05,23,587,27571,256,0,2129.04863806173
2011-2012,2011-12-12,24,948,31794,302,0,2981.69465936969
2011-2012,2011-12-19,25,764,29838,281,0,2560.49333065219
2011-2012,2011-12-26,26,646,27746,262,0,2328.2635334823
2011-2012,2012-01-02,27,617,29204,266,0,2112.72428434461
2011-2012,2012-01-09,28,585,28219,255,0,2073.07133491619
2011-2012,2012-01-16,29,355,21422,199,0,1657.1748669592
2011-2012,2012-01-23,30,325,21059,193,0,1543.28315684505
2011-2012,2012-01-30,31,283,19337,175,0,1463.51554015618
2011-2012,2012-02-06,32,259,17448,157,0,1484.41082072444
2011-2012,2012-02-13,33,253,18837,164,0,1343.10134310134
2011-2012,2012-02-20,34,254,19297,170,0,1316.26677721926
2011-2012,2012-02-27,35,269,19111,180,0,1407.56632306002
2011-2012,2012-03-05,36,227,16844,143,0,1347.66088815008
2011-2012,2012-03-12,37,256,19342,169,0,1323.54461792989
2011-2012,2012-03-19,38,227,17152,158,0,1323.46082089552
2011-2012,2012-03-26,39,216,16741,149,0,1290.24550504749
2011-2012,2012-04-02,40,210,16770,145,0,1252.23613595707
2011-2012,2012-04-09,41,191,15352,131,0,1244.1375716519
2011-2012,2012-04-16,42,167,14153,122,0,1179.96184554511
2011-2012,2012-04-23,43,163,13326,114,0,1223.17274500976
2011-2012,2012-04-30,44,154,11531,104,0,1335.53030960021
2011-2012,2012-05-07,45,140,11898,105,0,1176.66834762145
2011-2012,2012-05-14,46,149,12611,111,0,1181.50820712077
2011-2012,2012-05-21,47,121,11413,97,0,1060.19451502672
2011-2012,2012-05-28,48,106,9614,83,0,1102.55876846266
2011-2012,2012-06-04,49,94,8286,72,0,1134.44363987449
2011-2012,2012-06-11,50,87,8389,72,0,1037.07235665753
2011-2012,2012-06-18,51,79,7369,63,0,1072.05862396526
2011-2012,2012-06-25,52,54,5720,45,0,944.055944055944
2012-2013,2012-07-02,1,69,6606,60,0,1044.50499545867
2012-2013,2012-07-09,2,51,5387,44,0,946.723593837015
2012-2013,2012-07-16,3,37,3743,33,0,988.511888859204
2012-2013,2012-07-23,4,43,4361,39,0,986.012382481082
2012-2013,2012-07-30,5,32,3099,30,0,1032.59115843821
2012-2013,2012-08-06,6,26,2777,24,0,936.262153402953
2012-2013,2012-08-13,7,27,3030,23,0,891.089108910891
2012-2013,2012-08-20,8,30,3844,30,0,780.437044745057
2012-2013,2012-08-27,9,39,3906,33,0,998.463901689708
2012-2013,2012-09-03,10,46,4833,42,0,951.789778605421
2012-2013,2012-09-10,11,47,4916,45,0,956.061838893409
2012-2013,2012-09-17,12,98,9528,84,0,1028.54743912678
2012-2013,2012-09-24,13,170,14353,122,0,1184.42137532223
2012-2013,2012-10-01,14,171,15145,132,0,1129.08550676791
2012-2013,2012-10-08,15,187,15011,134,0,1245.75311438279
2012-2013,2012-10-15,16,214,15939,144,0,1342.61873392308
2012-2013,2012-10-22,17,179,14539,128,0,1231.1713322787
2012-2013,2012-10-29,18,192,14791,134,0,1298.08667432898
2012-2013,2012-11-05,19,304,19506,172,0,1558.49482210602
2012-2013,2012-11-12,20,359,22469,200,0,1597.75690951978
2012-2013,2012-11-19,21,484,25151,233,0,1924.37676434337
2012-2013,2012-11-26,22,555,26908,240,0,2062.58361825479
2012-2013,2012-12-03,23,607,28797,263,0,2107.85845747821
2012-2013,2012-12-10,24,884,31823,292,0,2777.86506614713
2012-2013,2012-12-17,25,946,31886,295,0,2966.81929373393
2012-2013,2012-12-24,26,742,30936,287,0,2398.5001292992
2012-2013,2012-12-31,27,895,30610,289,0,2923.88108461287
2012-2013,2013-01-07,28,740,28907,278,0,2559.93358010171
2012-2013,2013-01-14,29,519,25460,242,0,2038.49175176748
2012-2013,2013-01-21,30,403,22215,213,0,1814.08957911321
2012-2013,2013-01-28,31,379,22269,209,0,1701.91746373883
2012-2013,2013-02-04,32,288,19570,184,0,1471.64026571283
2012-2013,2013-02-11,33,265,17693,164,0,1497.76747866388
2012-2013,2013-02-18,34,245,17014,162,0,1439.99059597978
2012-2013,2013-02-25,35,209,15618,143,0,1338.199513382
2012-2013,2013-03-04,36,209,15690,145,0,1332.05863607393
2012-2013,2013-03-11,37,252,18015,162,0,1398.83430474605
2012-2013,2013-03-18,38,233,16757,152,0,1390.46368681745
2012-2013,2013-03-25,39,171,13207,114,0,1294.7679260998
2012-2013,2013-04-01,40,212,15696,146,0,1350.6625891947
2012-2013,2013-04-08,41,168,13523,130,0,1242.32788582415
2012-2013,2013-04-15,42,204,16724,151,0,1219.80387467113
2012-2013,2013-04-22,43,180,14463,134,0,1244.55507156192
2012-2013,2013-04-29,44,157,11851,114,0,1324.78271875791
2012-2013,2013-05-06,45,165,14437,126,0,1142.89672369606
2012-2013,2013-05-13,46,168,12604,122,0,1332.91018724215
2012-2013,2013-05-20,47,115,9657,88,0,1190.84601843223
