abs_code,season,immunisation_intensity,immunisation_intensity_raw,area_population,treated
1,2011-2012,0,0,37,0
1,2012-2013,0,0,37,0
1,2013-2014,0,0,33,0
1,2014-2015,0,0,19,0
1,2015-2016,0,0,25,0
1,2016-2017,0,0,25,0
1,2017-2018,0,0,26,0
1,2018-2019,0,0,31,0
1,2019-2020,0,0,30,0
1,2020-2021,0,0,18,0
1,2021-2022,0,0,28,0
1,2022-2023,0,0,21,0
1,2023-2024,0.939583333333333,1.70833333333333,30,1
1,2024-2025,1.05849056603774,1.92452830188679,24,1
1,2025-2026,1.06944444444444,1.94444444444444,21,1
10,2011-2012,0,0,84,0
10,2012-2013,0,0,84,0
10,2013-2014,0,0,91,0
10,2014-2015,0,0,87,0
10,2015-2016,0,0,79,0
10,2016-2017,0,0,79,0
10,2017-2018,0,0,92,0
10,2018-2019,0,0,91,0
10,2019-2020,0,0,65,0
10,2020-2021,0,0,67,0
10,2021-2022,0,0,57,0
10,2022-2023,0,0,57,0
10,2023-2024,0.952678571428572,1.73214285714286,68,1
10,2024-2025,0.952100840336134,1.73109243697479,68,1
10,2025-2026,0.959302325581395,1.74418604651163,52,1
100,2011-2012,0,0,182,0
100,2012-2013,0,0,182,0
100,2013-2014,0,0,183,0
100,2014-2015,0,0,184,0
100,2015-2016,0,0,142,0
100,2016-2017,0,0,142,0
100,2017-2018,0,0,133,0
100,2018-2019,0,0,126,0
100,2019-2020,0,0,126,0
100,2020-2021,0,0,129.5,0
100,2021-2022,0,0,143.5,0
100,2022-2023,0,0,139,0
100,2023-2024,0.940088105726872,1.70925110132159,137,1
100,2024-2025,1.03623188405797,1.88405797101449,137,1
100,2025-2026,1.02757201646091,1.86831275720165,143,1
101,2011-2012,0,0,56,0
101,2012-2013,0,0,60.5,0
101,2013-2014,0,0,63,0
101,2014-2015,0,0,58,0
101,2015-2016,0,0,49,0
101,2016-2017,0,0,46,0
101,2017-2018,0,0,41,0
101,2018-2019,0,0,41,0
101,2019-2020,0,0,41,0
101,2020-2021,0,0,41,0
101,2021-2022,0,0,37,0
101,2022-2023,0,0,35,0
101,2023-2024,0.905882352941176,1.64705882352941,32,1
101,2024-2025,0.913207547169811,1.66037735849057,34,1
101,2025-2026,0.903571428571429,1.64285714285714,34,1
102,2011-2012,0,0,64,0
102,2012-2013,0,0,66,0
102,2013-2014,0,0,58,0
102,2014-2015,0,0,56,0
102,2015-2016,0,0,68,0
102,2016-2017,0,0,63,0
102,2017-2018,0,0,51,0
102,2018-2019,0,0,43,0
102,2019-2020,0,0,51,0
102,2021-2022,0,0,44,0
102,2022-2023,0,0,33,0
102,2023-2024,0.914457831325301,1.66265060240964,45,1
102,2024-2025,1.01428571428571,1.84415584415584,41,1
102,2025-2026,1.0375,1.88636363636364,38,1
103,2011-2012,0,0,83,0
103,2012-2013,0,0,76,0
103,2013-2014,0,0,60,0
103,2014-2015,0,0,76,0
103,2015-2016,0,0,73,0
103,2016-2017,0,0,71,0
103,2017-2018,0,0,67,0
103,2018-2019,0,0,61,0
103,2019-2020,0,0,61,0
103,2020-2021,0,0,45,0
103,2021-2022,0,0,37,0
103,2022-2023,0,0,51,0
103,2023-2024,0.742982456140351,1.35087719298246,57,1
103,2024-2025,0.952100840336134,1.73109243697479,53,1
103,2025-2026,1.01315789473684,1.84210526315789,53,1
104,2011-2012,0,0,88,0
104,2012-2013,0,0,88,0
104,2013-2014,0,0,91,0
104,2014-2015,0,0,89,0
