variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
beta_intensity,0.00479191101715175,0.0060637873,0.0919871339713337,0.08935226013588,-0.1498758105,0.153133396,1.00152044339641,1473.55357463825,2258.68400472338
beta_intensity_cos,-0.206196029265,-0.205495295,0.029963342182319,0.029759132676,-0.2568417425,-0.1587146735,1.18113927900839,15.27398159652,48.8801083738417
beta_intensity_sin,0.1380630881185,0.138844775,0.0293641444936018,0.02868942195,0.0894105327,0.1859283285,1.09440540603027,29.9978010941643,72.0844473403925
beta_lag,0.0902230676675,0.0902429125,0.00565923237413008,0.00577227552090001,0.0807250354,0.09949363815,1.0938573488429,26.1743500979022,287.794721667903
beta_ses,0.016496354631221,0.016259265,0.0221209674517632,0.02213191936326,-0.0187873896,0.05369650915,1.00498758718967,980.512529800213,1574.80930752197
sigma_area,0.1470329424975,0.145864965,0.0149467161684113,0.014411880168,0.1249697525,0.1740358145,1.00285528093299,1096.71631419293,1970.46578218986
sigma_season,0.14298688115375,0.138567625,0.0329308744188409,0.030141754671,0.09879308915,0.204240313,1.00613492068561,1185.22932037742,1665.66021788458
sigma_series,0.0426504677977803,0.0441713465,0.0133350861015693,0.0121383508743,0.01653183385,0.0618559884,1.01407612534096,563.418039822486,562.34609544706
sigma_shift,4.177152767125,3.0635629,2.36356239673303,0.90976353846,2.138185725,8.97974335,1.53338817925128,7.19909065215828,35.6260832265233
sigma_speed,0.18521569502775,0.179299635,0.0404578389679751,0.038285046366,0.130120478,0.260568357,1.06903256182485,38.5154761532112,1500.46655555025
sigma_f,0.2950413661425,0.275896885,0.0946708273182499,0.074654677314,0.185303394,0.4703288205,1.00099136455855,818.426008793973,1170.18144785567
phi,12509.2422807825,6371.2727,16578.77283322,5465.05596735,1653.976485,50069.27795,1.00025730514716,5818.98551994871,2090.76224581273
