season,total_cases,person_weeks,incidence_per_100k_pw,mean_population,n_weeks,n_abs,first_week,last_week,treated,peak_week_date,peak_week_in_season,peak_cases,peak_incidence_per_100k,mean_immunisation_intensity,median_immunisation_intensity,intensity_q25,intensity_q75,mean_raw_immunisation_intensity
2011-2012,11636,703125,1654.89777777778,18028.8461538462,39,302,2011-10-03,2012-06-25,0,2011-12-12,24,948,2981.69465936969,0,0,0,0,0
2012-2013,13252,781169,1696.43188605795,15022.4807692308,52,295,2012-07-02,2013-06-24,0,2012-12-17,25,946,2966.81929373393,0,0,0,0,0
2013-2014,12884,754671,1707.23401323226,14512.9038461538,52,297,2013-07-01,2014-06-23,0,2013-12-30,27,910,3220.55492638732,0,0,0,0,0
2014-2015,14066,759141,1852.88371988866,14598.8653846154,52,305,2014-07-07,2015-06-29,0,2014-12-29,26,933,3252.45764484418,0,0,0,0,0
2015-2016,14936,722167,2068.21967771997,13887.8269230769,52,334,2015-07-06,2016-06-27,0,2015-12-28,26,1370,4369.87655896144,0,0,0,0,0
2016-2017,14465,721702,2004.28985924939,13878.8846153846,52,321,2016-07-04,2017-06-26,0,2016-12-12,24,1104,3801.5219861575,0,0,0,0,0
2017-2018,14145,732012,1932.34537138735,14077.1538461538,52,317,2017-07-03,2018-06-25,0,2017-12-11,24,1055,3641.19555463519,0,0,0,0,0
2018-2019,14455,700607,2063.21090140407,13473.2115384615,52,333,2018-07-02,2019-06-24,0,2018-12-17,25,1037,3610.72423398329,0,0,0,0,0
2019-2020,11126,496644,2240.23646716763,9550.84615384616,52,317,2019-07-01,2020-06-22,0,2019-12-30,27,1015,3902.49529009189,0,0,0,0,0
2020-2021,4310,273416,1576.35251777511,5258,52,195,2020-07-06,2021-06-28,0,2021-06-21,51,291,2038.814544945,0,0,0,0,0
2021-2022,11140,552882,2014.89648785817,10632.3461538462,52,270,2021-07-05,2022-06-27,0,2021-11-22,21,632,3127.47426761679,0,0,0,0,0
2022-2023,15131,639918,2364.52170434337,12306.1153846154,52,330,2022-07-04,2023-06-26,0,2022-11-21,21,1173,4771.00789066949,0,0,0,0,0
2023-2024,10442,561233,1860.54633280652,10792.9423076923,52,264,2023-07-03,2024-06-24,1,2023-12-11,24,577,2828.57002794255,0.904377004619576,0.912025316455696,0.866254125412541,0.944971108703503,1.64432182658105
2024-2025,8371,500760,1671.65907820113,9630,52,203,2024-07-01,2025-06-23,1,2024-12-30,27,351,2043.31121201537,1.01338270853786,1.01851851851852,0.99,1.03986723019126,1.84251401552338
2025-2026,7996,492063,1624.99517338227,9462.75,52,192,2025-07-07,2026-06-29,1,2025-12-29,26,317,2002.65335776107,1.02284170114404,1.02600748069498,1.00298622610266,1.04868674576615,1.85971218389826
