rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,modulation_amplitude,sigma_series_estimate,schedule,error
1,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.463801090441528,-0.75361496525,-0.12304339675,0.163894882466712,1.00123091831215,1987.10563668146,0,0,0.0422170859661191,0.00632514175243076,11.11647483475,0.0214263691634804,0.076332609197417,0.19414489003975,long,
2,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5129857726775,-0.6569720315,-0.34442687825,0.0758676074500556,1.00137226568322,1817.64866950215,3,0,0.065327817374758,0.00355469196152804,12.910548622175,0.0874063698718683,0.118272891723223,0.188039457195,long,
3,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.569965563314,-0.83371778825,-0.287904664,0.134520933628816,1.00068175496509,2531.64124796964,0,0,0.0751173270009402,0.0116983154546935,15.3759476081,0.0424308163996816,0.0773142950904089,0.15943230845925,long,
4,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5005807134695,-0.7479388605,-0.2473157115,0.12898117741377,1.00079665618101,2708.49831095179,0,0,0.158928026696976,0.0109857748274596,10.20676315145,0.004479031422021,0.0804327020133634,0.120683746302175,long,
5,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.712176604905,-0.8821204535,-0.51424050375,0.0917234711193809,1.00130581001444,2348.82547710133,1,0,0.281491316324655,0.00671488605061779,10.809974423225,0.0442403745504821,0.0834754883436824,0.13898971734575,long,
6,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.57130628611825,-0.84021677125,-0.2953651555,0.136261056418984,1.00052611965489,3299.73965364396,0,0,0.29589120427849,0.00617312012673544,12.52308918645,0.0066437652872843,0.0705293049803675,0.15931958204625,long,
7,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5599194364925,-0.750679395,-0.3364747885,0.105555509301081,1.0012262469867,1901.5415487146,0,0,0.241272660524764,0.00320406450340109,13.949799518475,-0.0655233063567842,0.0930366995845247,0.1655680899895,long,
8,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.504666663434773,-0.7909715665,-0.17056723875,0.158792105193718,1.00195068205314,1774.45533999284,0,0,0.0846909670711545,0.00694108566782322,9.651106715425,0.0373519879757268,0.113201320281759,0.147394617116,long,
9,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.33567813199168,-0.5959374305,-0.04057790705,0.142889868911566,1.00072794457144,1768.06838739973,0,0,0.0781484766333409,0.0115486338207352,12.704709823675,-0.0621557097467195,0.0885283490219503,0.12794189193325,long,
10,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.49104479407155,-0.69702707725,-0.31022790625,0.096738663670224,1.0007989486596,1945.17538040258,0,0,0.157392045838797,0.00746097045079029,11.217389335875,0.0293625802455985,0.129110065162263,0.1647025039465,long,
11,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.659478342785,-0.8169545225,-0.477045861,0.0853404026815068,1.00046294816377,2237.07609775251,1,0,0.0747089470738389,0.00258509671695675,10.9092463059,-0.0429055284132117,0.0853791842685398,0.13532551210275,long,
12,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.495890264145125,-0.8527683205,-0.127196633,0.186052856146582,1.00099434659487,2211.7463549188,0,0,0.0954326606369289,0.00423009887287176,10.8305788516,0.0428794085199274,0.0773396055953486,0.1903847189665,long,
13,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.671257885485,-0.8831077445,-0.434822888,0.11462473656504,1.0022474117531,1754.02356098438,0,0,0.411898457141242,0.00683205951078861,14.2969173614,0.0034159901106558,0.0825885919172711,0.16974996582,long,
14,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.59923114378,-0.69641100675,-0.49581517675,0.05082284972928,1.00027045956536,2579.07438532507,0,0,0.105977964257012,0.00626462139108628,11.313794065825,-0.0539323123133604,0.079652718835153,0.098413680771625,long,
15,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.63473287085,-0.801595962,-0.4613469125,0.0855257305772918,1.00105365096445,2491.66429504851,0,0,0.189603254477347,0.00390179983141767,17.549427949875,-0.0347104847641974,0.0865456383440338,0.12873316199625,long,
16,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.6303552844935,-0.83408630875,-0.3822677845,0.110554043513502,1.00141177027881,1898.82512054878,1,0,0.420788349541497,0.00407985573142564,11.071921336675,-0.0177655377746445,0.0740217837024942,0.172159274747,long,
17,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.363903843506,-0.577911189,-0.1640060465,0.10444738244861,1.00029964128251,3583.57738999628,0,0,0.212511080093121,0.00681068631127396,10.23426739145,-0.046297447836404,0.0761199165626907,0.1212289813575,long,
18,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5172246914775,-0.75528469725,-0.31872214,0.109333577135203,1.00027424976579,1912.13464937806,1,0,0.117459104424194,0.00594736185198023,11.1973810973,0.0477163662398305,0.100704097015687,0.19845749772525,long,
19,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.49858343582825,-0.752382012,-0.2466368595,0.126886750152214,1.00117969414665,2394.97610152362,0,0,0.123438177830413,0.0202165346194042,12.41569378355,-0.115831201852059,0.144090460236187,0.0753625961898155,long,
20,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.42443989116916,-0.7641797545,0.0131986874,0.20097299690187,1.00026565884369,1775.76954425404,0,0,0.600155518739844,0.00659351380494021,10.634691848325,-0.0735321939841569,0.106996693426563,0.1362432366865,long,
1,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.68992343567,-0.9553341135,-0.41162482725,0.134135883740879,1.00015632783668,2332.22828435539,1,0,1.74469893306181,0.0350317050868354,11.8266727257,-0.104761467383138,0.13059399308306,0.2007958673025,long,
2,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.72076647395125,-1.0228106175,-0.36971415,0.169971726722497,1.00221269473596,2013.96421992036,0,0,1.31394815740038,0.0196547838544269,11.351648967575,0.0270673847654024,0.128080355041986,0.12990078461825,long,
3,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.65291931259875,-0.832020852,-0.468002015,0.0931398924509998,0.999903100408556,2518.74866314872,0,0,2.68763784188831,0.0396053630235276,17.677859053975,0.0709133314579243,0.112075937693688,0.1536602216655,long,
4,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.72214935648,-0.91515623175,-0.5269798665,0.0986646111053667,1.00069107519143,2519.30178836031,0,0,0.328460357138148,0.0204812631995916,12.413644741875,0.0082336541350795,0.073875762425052,0.13482073306375,long,
5,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.8396056463475,-1.1467852225,-0.5171736025,0.157455344905086,1.00003677592666,2997.52107477144,0,0,0.985625174994452,0.0213706387246605,11.46001435605,0.050003059760771,0.137785313881729,0.13533804953575,long,
6,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.871935331445,-1.068382555,-0.70068313825,0.0932145006158653,1.0013721680875,3127.18776805988,0,0,2.47000252819123,0.034372498602739,10.9207805127,-0.00831517139424361,0.078895376517211,0.0922050164638575,long,
7,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.783784385275,-0.974854763,-0.53979174275,0.105949446054708,1.00175406375971,1835.25795756066,0,0,1.90339027496468,0.0121137226998293,12.224193053025,0.00325400328763775,0.120515558465056,0.141063802104,long,
8,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.47779920505225,-0.6607148955,-0.282167084,0.0922546240730997,1.00048685887879,2805.56778742011,0,0,1.65698955973339,0.01100830291101,15.548606452775,-0.013993610314977,0.0813011228083113,0.179242205335,long,
9,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.6168101205375,-0.90666252575,-0.3096804585,0.149843632621857,1.00171105224445,1959.29550912001,0,0,0.777303438891213,0.0198904791578656,12.57185580385,0.018614166361272,0.0805930350472169,0.1830523469705,long,
10,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.89147774131,-1.08805548,-0.69888371975,0.0956051859229993,1.00056312342573,2703.61598195374,2,0,0.909388894146695,0.027647562499794,14.465372903225,0.0021690612122215,0.0987280151454747,0.16540831957725,long,
11,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.50556858312875,-0.7424680175,-0.262857123,0.122997702133491,1.00081923335035,2546.16220845679,0,0,0.676095332138354,0.0300524541109835,12.8243953751,-0.0337381672545973,0.101095076480171,0.105909320988863,long,
12,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.6886935323273,-1.00343486,-0.28102792975,0.185012466998795,1.00380698921183,1561.56132018147,0,0,1.69984349374891,0.0348052429226213,12.7830387985,-0.002468783775367,0.105144752918819,0.174673993004,long,
13,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.75433266812325,-1.048607315,-0.41529405825,0.159804461523839,1.00084600048401,2777.78778813719,1,0,2.39362118475033,0.0270335464547845,12.8362162011,-0.21313131718995,0.226041369584851,0.1564499893635,long,
14,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.6617777247275,-0.86847537625,-0.45289861075,0.105126827582866,0.999725685307864,3170.41015481622,0,0,2.30415456344419,0.0212903070688654,11.255211231225,0.0408997470548484,0.0851224218758948,0.13464689574825,long,
15,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.9414716367475,-1.1989322375,-0.71540490275,0.121989329250822,1.00130684490012,3141.90598995859,0,0,1.72822540027555,0.0458831533714044,11.3118471227,0.027226535307359,0.0804818864745905,0.1404808400475,long,
16,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.7686090989975,-1.04356776,-0.48778784225,0.139885510429664,1.00058062640056,1871.41830006625,1,0,0.853117714072146,0.0302612044303496,11.4915386144,-0.0702338078375867,0.102502822651636,0.14471020943175,long,
17,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.59920808029185,-0.90731242875,-0.33161628875,0.143853940143406,1.00028799879518,3072.10605390625,0,0,2.35287679084589,0.0237231917619575,16.0327683278,-0.021152637134171,0.0863341867942019,0.19385751274,long,
18,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.698374033717595,-1.0001059475,-0.273943934,0.183325559337432,1.00204579599442,1629.93400189726,0,0,3.4708441840633,0.057681223127531,11.864424022875,-0.0468974792675224,0.123569823452699,0.161769299387,long,
19,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.750328867675,-0.95822339825,-0.527033026,0.107573489489479,1.00006863491888,2753.09438102527,0,0,2.24483515584649,0.0198146088668906,9.072140458025,0.017060080986944,0.0878663826912596,0.12584346092,long,
20,phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.910634553485,-1.209397195,-0.62152394275,0.150638988119381,0.999580832174503,2542.86099238949,1,0,1.20356209264593,0.0178784475577057,16.14103283845,0.0190863242153995,0.0987112422827614,0.2084157646725,long,
1,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.4859371945325,-0.64235076375,-0.32912561525,0.0822710255203313,1.00084463913169,2908.97834345447,0,0,0.92451480747915,0.0147670172711851,13.2274395359,-0.00612663031000473,0.0777883123441479,0.15430046639475,long,
2,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.6344076552975,-0.78092585275,-0.48436556075,0.0745696943311828,0.999790656326919,3286.37039501096,2,0,1.8259561073746,0.0179297521365514,11.9856497632,0.0345608921920543,0.0763074818585839,0.112552930734275,long,
3,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.4990431677175,-0.6273548395,-0.367481457,0.0663604946116854,1.00059744229206,2232.53457160225,0,0,1.65767589576334,0.046247473304093,9.03950425345,-0.0287415942626954,0.0662952569694091,0.17628754243875,long,
4,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.47175297316,-0.65109679475,-0.2982607715,0.0906148413421653,1.00088368787125,2299.14864085316,0,0,1.08420331578157,0.0292954022222532,18.088945827475,0.0314219205757968,0.0969697245938124,0.16271621514575,long,
5,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.524773778025,-0.6378371205,-0.40100312475,0.0612007075744208,1.00378157746172,859.640318902057,0,0,1.5556144450552,0.0235059634620541,11.726748596475,0.0172154830457983,0.0624287817682655,0.1867483755515,long,
6,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.34738163623975,-0.49782794925,-0.19901154975,0.0760070825543151,1.00102757829053,2769.72603366555,0,0,1.22884328505161,0.0293801321060599,12.556477904325,0.00805746718255547,0.0687148451516806,0.124282969661,long,
7,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.516518026855,-0.625594776,-0.40866078825,0.0554092004730274,1.00177933862188,4322.4963213739,0,0,2.06737060516882,0.029177848367645,18.8695165694,0.0253615239872278,0.0646919144150136,0.10788782247805,long,
8,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.47097369860125,-0.652737713,-0.27379356425,0.0960752208891316,1.00049733365,3553.83191973306,0,0,1.92895492742286,0.0443462308982282,11.294453862425,0.016328725102384,0.0745734439273446,0.17865285271275,long,
9,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.56631744524,-0.700372514,-0.4265877385,0.0706339550067052,1.00145928063546,2588.97575469513,0,0,1.10232751779575,0.0258847923782947,11.870825098175,0.0977599001308718,0.120725293667794,0.1339199480665,long,
10,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.4565829286675,-0.58818625375,-0.32804852825,0.0658070687169977,1.0002178820711,4584.63255323249,0,0,1.56197008097285,0.0190145457299594,10.32782464425,0.0208768758192638,0.081942858841035,0.0859621791342688,long,
11,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.602289240255,-0.7547290145,-0.42689060775,0.0854502784100794,1.00153619016356,1467.16582046599,0,0,1.51970530119516,0.0255845546164128,17.2874165601,-0.0107625034048094,0.0905183171637223,0.150661604629,long,
12,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.463055519465,-0.612525075,-0.31499758825,0.0766595914884226,0.999888940763971,3795.45800734621,0,0,2.50554006792404,0.0143843048101863,15.0654964439,0.0358395195698202,0.104350666427197,0.152132093104,long,
13,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.367446997869975,-0.53567906075,-0.1778034635,0.0923711449980695,1.00171687551442,1700.80883981337,0,0,1.78459535284593,0.0372809186932381,9.25524086645,0.0181718895677242,0.0708309999982836,0.1829327860255,long,
14,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.49131552040105,-0.716571154,-0.2537029765,0.11828729603861,1.00241093851484,3182.01853371548,1,0,1.9696893242465,0.0262633770559568,17.066122554075,0.11155499183209,0.128766156547802,0.21532637675,long,
15,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.447943632315,-0.612048322,-0.2797678955,0.0856771350396516,1.00038902994555,3191.03577804248,1,0,1.53596411960212,0.0318721126727201,12.141101133275,-0.0882283599653887,0.123769533368219,0.17520673011625,long,
16,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.35957270954225,-0.4941649185,-0.2179313745,0.0718675541165358,1.00162968296379,2257.73126185718,0,0,1.72548279159146,0.0124536036905215,12.40698910725,0.0760676869583373,0.103014447228236,0.1475494972635,long,
17,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.55211337514575,-0.74794318425,-0.32569465125,0.109479898192625,1.00078630512584,1925.30735886872,0,0,1.50979186821162,0.0127349803610162,12.644651210275,0.0430587049182385,0.0823119186474692,0.219735325675,long,
18,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.6277284557975,-0.753884223,-0.50995780925,0.0613480967841914,0.999350000118154,2617.28666470117,1,0,2.40101240240776,0.0292474108674005,13.889933215475,-0.0646686231076869,0.0917898825053099,0.15505748517375,long,
19,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.354651048961875,-0.56266767475,-0.15437718375,0.103089623796015,1.00079480252728,3281.60107800284,0,0,2.08076598608008,0.0153281094949892,10.653770607425,0.019766510411182,0.0685620081994584,0.17281214139,long,
20,phase_and_confounding,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.3454073787885,-0.516688026,-0.18134340725,0.0857554561501145,1.00034134663133,3512.31893399201,0,0,1.79375930985765,0.0131761101932405,11.9364115672,0.0333038021355272,0.0908468492353988,0.1160770081925,long,
1,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.61750840856075,-0.8748897445,-0.31847710625,0.136746747073803,1.00125389340715,2610.53830272724,1,0,1.3421169968594,0.0271905269904621,10.8186199048,-0.0621753959840375,0.0983851861666698,0.172879927453,long,
2,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.183394615564526,-0.58346909625,0.17998606775,0.195101701940515,1.00090405773521,2039.39310132677,0,0,1.73070641155925,0.0122247980559432,12.124706303975,0.0970894512308153,0.119366816709403,0.118737850129,long,
3,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5664535811525,-0.77317489525,-0.35732021725,0.106127496688907,1.00054285930469,3686.53408809995,0,0,1.8359691073992,0.0208543601727156,9.628180722525,-0.0394504431967259,0.0799940820947439,0.153642122597,long,
4,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.597235536745025,-0.87679677475,-0.2933451105,0.146200931968871,1.00230180505548,2612.04395077715,0,0,1.06482154573494,0.0269416936387892,16.301718897725,-0.054313322867997,0.095853920912271,0.156005408942,long,
5,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.7872474220025,-0.9552203725,-0.517514361,0.106699824245902,1.00058389670407,2111.10978514657,0,0,2.35395632146577,0.0468252259839437,17.523246759875,-0.0627592053256745,0.105815386610116,0.13894303200375,long,
6,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.565470300923793,-0.82290387625,-0.18374150875,0.159778533536821,1.00060826718201,1760.35840232853,0,0,1.66135400274684,0.0220737032793055,10.977095053675,-0.0721194391510753,0.115432903316005,0.13393324559275,long,
7,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.4822472641012,-0.7495710095,-0.18241818725,0.146503860861925,1.00052720594233,2385.94649116481,0,0,1.53085383563283,0.0316312530361496,15.4839869591,0.0848568394141775,0.107294977799256,0.13048192683625,long,
8,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.3755839055405,-0.566730457,-0.2223731725,0.0852286747233848,1.00224098913771,2187.08275843908,0,0,2.08451701963863,0.0367583003758316,8.82599070615,-0.0226431690237348,0.102121670949766,0.14012950568675,long,
9,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.46728625042675,-0.67033572275,-0.250043767,0.105710832375432,1.00076376715357,3781.08499163916,0,0,2.3340534776192,0.0353821805378627,15.157173275175,0.120192655261033,0.158767275959774,0.1439401220105,long,
10,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.535127291274483,-0.9056111805,-0.1549342435,0.191547614782017,1.00353663447171,1712.89375132116,0,0,0.814390161577771,0.0225448412201774,11.88474961375,-0.0599532761985003,0.0976819813162194,0.154448770893,long,
11,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.791093545491,-1.027216345,-0.368089168,0.165710022555847,1.00178037826251,1392.11596684118,1,0,1.49342093068262,0.036443716458672,14.3018643379,-0.00631544090595833,0.0991896600203527,0.2168812583675,long,
12,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.405591363562272,-0.615054787,-0.1287785145,0.122415491403157,1.00006335368767,1728.04536437455,2,0,1.31554843111395,0.0249675942248332,11.1645999165,-0.076707951718901,0.107196727978245,0.16121475401875,long,
13,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5219882630315,-0.8198438535,-0.2754120255,0.139079318420123,1.00036821363225,2297.09782384293,0,0,2.07914244405743,0.022810971399706,10.745824921225,-0.0243463528324375,0.112750175805655,0.1735898610155,long,
14,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.40026782079975,-0.57347464775,-0.19811427675,0.0926713112393142,1.00182412716524,2802.73173974313,1,0,1.53830046589238,0.0174873589627625,16.41015447565,0.00678795973407,0.0927975031512789,0.142163830039,long,
15,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.4674375083481,-0.70360256025,-0.2362887815,0.118255152854681,1.00064358170542,2866.93035609042,0,0,2.21491316877002,0.0513346612041962,14.00955441235,-0.0800033796339713,0.146109459084095,0.1155041518005,long,
16,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5300195837915,-0.8023733805,-0.22459333775,0.144798185747581,1.00039022412395,3082.48622950784,0,0,1.30352277528712,0.031432248924436,9.689994036,0.0732486593602491,0.116223836903915,0.116772025609775,long,
17,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5786853187225,-0.71573009525,-0.42110767475,0.0721865962096469,1.00401620011515,1782.76831355576,31,0,1.61123812228644,0.0216093575948986,15.14570670665,0.0534358784362013,0.0905335273241849,0.127264358175,long,
18,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.57361959440925,-0.76809703625,-0.33237610325,0.107035525870364,1.00202054495112,2433.18380748462,1,0,0.971457545964111,0.0283554706475877,11.52308168575,0.0796024897263085,0.10821246582945,0.13948221534625,long,
19,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.6153805439825,-0.872294022,-0.39142528375,0.121974528726898,1.0018920696456,2738.6353158744,0,0,1.84244110307597,0.0567830621698036,13.40220732145,0.0436194291435737,0.0891637561096918,0.193196666235,long,
20,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.60945221367,-0.73570081275,-0.4851757945,0.0645221234100941,1.00060195627266,2953.95328572469,0,0,0.700622324931182,0.0380424125977516,14.05378019995,0.0331820445030613,0.0905558883524063,0.14643402384275,long,
