rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,modulation_amplitude,sigma_series_estimate,schedule,error
1,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.453763525779163,-0.75647996425,-0.0980322859250001,0.169123646906317,1.00301599567805,545.606512254866,0,0,0.0405333887348563,0.00622338721791468,11.0756033123333,0.021373642879924,0.0766580535086916,0.19053794604,short,
2,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.514314156591667,-0.660535704,-0.34268666325,0.0804540257234072,1.00846926245078,410.689541477169,0,0,0.0626258738515596,0.00379991081492764,12.8193812808333,0.0880671817051667,0.119192893798943,0.187297905558333,short,
3,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5710035155175,-0.8452792175,-0.271851107,0.14531262228103,1.00293126625199,877.41437872704,0,0,0.080928436000265,0.0115532206521354,15.4554512074167,0.0436309997092859,0.0794448576889599,0.158429838155,short,
4,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.497256214334167,-0.74932313975,-0.245481582250001,0.130231261242688,1.0082424040091,677.502972800783,0,0,0.164511783984308,0.0116739975028747,10.2611887208333,0.00625801529914833,0.0789346974686094,0.120024138278333,short,
5,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.714530351291667,-0.89134005275,-0.52325298675,0.0934260722360631,1.00583308292608,560.425548724508,28,0,0.336321235721644,0.00667073914733355,10.7521399528333,0.0524209721480142,0.0887421619936643,0.138253736553333,short,
6,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.569969906341667,-0.83221123525,-0.298996388000001,0.12896639083085,1.00159888253112,597.195979259425,0,0,0.295558707822193,0.00579509892761487,12.402758283,0.00349899111259164,0.0670994532781235,0.159181470728333,short,
7,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.557757867483333,-0.76286050925,-0.334936739,0.111821840752668,1.00049793865528,781.450217117232,0,0,0.243404086326049,0.00302315262612144,14.0671574370833,-0.0663171963486583,0.0947090941610659,0.166065144196667,short,
8,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.501271082501333,-0.78646580525,-0.17877814025,0.157275547928238,1.00175834716,580.265685635356,0,0,0.0875350889971769,0.00728236463547835,9.65306727983333,0.0389807531242192,0.111699119027017,0.14706335055,short,
9,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.333274203727133,-0.596351638,0.000867049423999589,0.149748043920544,1.00776000551895,548.669627954288,0,0,0.0816937377778675,0.0114790106544027,12.5654117843333,-0.062961480403435,0.0885146946846117,0.128985455249167,short,
10,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.496273380025,-0.693098437,-0.31926975525,0.093459713146779,1.00083144841916,524.894091418852,1,0,0.160989597601052,0.00692167662035053,11.223751507,0.0297565421995,0.128341380217462,0.163278725135833,short,
11,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.657899206425,-0.81663656875,-0.4550774065,0.0902040290766035,1.00224449931031,701.650298607541,0,0,0.0698064603937294,0.00276955953038653,10.9982843606667,-0.0436972363967667,0.0849955614539999,0.1373003258725,short,
12,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.482579175133667,-0.83787028625,-0.0763367293250004,0.189570811262346,1.01158928470655,535.489030377531,0,0,0.0813020128793461,0.00402757654850116,10.84965537875,0.0458429192855758,0.0781436609124054,0.190680816725,short,
13,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.673221900308333,-0.879189479,-0.446752747,0.110800098483901,1.00277224504115,610.758356346585,1,0,0.44020557489267,0.00730846248549444,14.1023044751667,0.00468902397271833,0.0850301379701531,0.170883993830833,short,
14,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.597912981775,-0.6940183355,-0.500031701,0.0496901172533557,0.9994999743021,1100.44520309509,0,0,0.106135644278881,0.00633808898616848,11.2736288600833,-0.0537331056347192,0.0794701723169542,0.0989808405458333,short,
15,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.631744551075,-0.81345628475,-0.46696703875,0.0865786533982202,1.00067670253349,636.717558085781,0,0,0.18394924691086,0.00374943242953678,17.5658508523333,-0.0377273348665346,0.0864018376219425,0.130141721555833,short,
16,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.632072886733333,-0.828812488,-0.395295424750001,0.109913579723539,1.00688745528463,519.581452454083,0,0,0.41782734517275,0.00417210303905719,11.0389207745833,-0.0156599139022383,0.0767790472027936,0.172758000323333,short,
17,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.369498903538333,-0.59699872975,-0.17015799125,0.108652626630788,1.00236392044083,541.296931063757,2,0,0.208672958801677,0.00660937509501301,10.2078612708333,-0.0461770760917942,0.0768926658291634,0.121637236943333,short,
18,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.511870992058333,-0.72059997475,-0.31773177725,0.100401689407287,1.00136065471084,559.481237176023,0,0,0.128802959364374,0.00590257620542759,11.25328649475,0.0523230511942737,0.104278952815743,0.199172234083333,short,
19,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.496242349575,-0.73362458775,-0.25120400675,0.123573283333036,1.00206837004009,572.917420032582,0,0,0.129495744594975,0.0200778265576612,12.2562861175,-0.114478069234967,0.141851178441978,0.0723439977021583,short,
20,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.424420938030167,-0.76878582025,0.00149257011249992,0.201437259751491,1.01795847360019,253.955265257426,1,0,0.600230165242836,0.0062282384488392,10.6478057185833,-0.0752989466372333,0.107856421911826,0.138095511435,short,
21,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.597375464744167,-0.82765191075,-0.3725426435,0.113323377960463,1.00067813326394,723.569801589914,0,0,0.0786373728550689,0.00795194683968658,12.6571517616667,0.0106638019407842,0.103574237759947,0.1397601047925,short,
22,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.619318010163833,-0.88383255025,-0.3416022055,0.13995597165409,1.00577132715587,575.677767549141,0,0,0.0865018834758667,0.00277416044402788,12.4119548599167,0.0189284935959133,0.0682815047561391,0.160063196758333,short,
23,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.482732473383667,-0.812322863,-0.0543719182500001,0.190218627219586,1.00356274368291,591.746694412787,0,0,0.188186940015881,0.00585452936622409,10.3925490814167,0.068164699271275,0.094372910429122,0.17120101113,short,
24,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.477661862401667,-0.810171097,-0.21556933775,0.145795586440375,1.00536438305889,808.057718738627,0,0,0.199881484954155,0.0045276513494169,16.1057657978333,-0.00721089544495833,0.0939611953617931,0.1670202825125,short,
25,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.391982283328333,-0.6402593925,-0.1023822605,0.141150139880939,1.01390241469901,516.848922585775,0,0,0.12260358352357,0.00232685759397388,12.4052084195833,0.0635547794811267,0.129472775560228,0.154834267015833,short,
26,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.575434096199167,-0.83298334975,-0.25963278425,0.147105503604537,1.00749357476561,599.421288894915,0,0,0.049174498217368,0.00410641352784909,12.4705604600833,-0.0690710277624583,0.0930499255768656,0.106739633128833,short,
27,aligned,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.377750842936667,-0.57101484275,-0.195085565,0.0953236322591987,1.00890175186621,447.418744736498,75,0,0.226354610376664,0.00343254151266175,13.2112479644167,0.014071997022525,0.0686622615819707,0.139309680563333,short,
