season,week,treated,observed,population,immunisation_intensity,true_shift,true_log_speed
1,1,0,25,9719,0,-3.20802149619706,-0.0172377494443773
1,2,0,40,9719,0,-3.20802149619706,-0.0172377494443773
1,3,0,31,9719,0,-3.20802149619706,-0.0172377494443773
1,4,0,33,9719,0,-3.20802149619706,-0.0172377494443773
1,5,0,41,9719,0,-3.20802149619706,-0.0172377494443773
1,6,0,44,9719,0,-3.20802149619706,-0.0172377494443773
1,7,0,42,9719,0,-3.20802149619706,-0.0172377494443773
1,8,0,45,9719,0,-3.20802149619706,-0.0172377494443773
1,9,0,45,9719,0,-3.20802149619706,-0.0172377494443773
1,10,0,50,9719,0,-3.20802149619706,-0.0172377494443773
1,11,0,48,9719,0,-3.20802149619706,-0.0172377494443773
1,12,0,34,9719,0,-3.20802149619706,-0.0172377494443773
1,13,0,35,9719,0,-3.20802149619706,-0.0172377494443773
1,14,0,38,9719,0,-3.20802149619706,-0.0172377494443773
1,15,0,34,9719,0,-3.20802149619706,-0.0172377494443773
1,16,0,32,9719,0,-3.20802149619706,-0.0172377494443773
1,17,0,18,9719,0,-3.20802149619706,-0.0172377494443773
1,18,0,22,9719,0,-3.20802149619706,-0.0172377494443773
1,19,0,17,9719,0,-3.20802149619706,-0.0172377494443773
1,20,0,18,9719,0,-3.20802149619706,-0.0172377494443773
1,21,0,21,9719,0,-3.20802149619706,-0.0172377494443773
1,22,0,29,9719,0,-3.20802149619706,-0.0172377494443773
1,23,0,28,9719,0,-3.20802149619706,-0.0172377494443773
1,24,0,19,9719,0,-3.20802149619706,-0.0172377494443773
1,25,0,13,9719,0,-3.20802149619706,-0.0172377494443773
1,26,0,12,9719,0,-3.20802149619706,-0.0172377494443773
1,27,0,15,9719,0,-3.20802149619706,-0.0172377494443773
1,28,0,9,9719,0,-3.20802149619706,-0.0172377494443773
1,29,0,15,9719,0,-3.20802149619706,-0.0172377494443773
1,30,0,19,9719,0,-3.20802149619706,-0.0172377494443773
1,31,0,20,9719,0,-3.20802149619706,-0.0172377494443773
1,32,0,12,9719,0,-3.20802149619706,-0.0172377494443773
1,33,0,14,9719,0,-3.20802149619706,-0.0172377494443773
1,34,0,10,9719,0,-3.20802149619706,-0.0172377494443773
1,35,0,13,9719,0,-3.20802149619706,-0.0172377494443773
