rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,error
1,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.227385291833094,-0.483072561269436,0.0283019776032477,0.130452688487929,,,,,,,,,
1,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.379921084163522,-0.478382758703551,-0.281459409623493,0.0502355482347088,,,,,,,,,
1,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.228785581607765,-0.484865041332938,0.0272938781174083,0.130652785574068,,,,,,,,,
2,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.866654054666929,-1.18839392993601,-0.544914179397853,0.164152997586263,,,,,,,,,
2,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.350889555809592,-0.446288589111947,-0.255490522507236,0.0486729761746712,,,,,,,,,
2,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.867902468665546,-1.18948482674167,-0.546320110589419,0.164072631671493,,,,,,,,,
3,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.465350167704276,-0.841404546036712,-0.0892957893718396,0.191864478741039,,,,,,,,,
3,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.727530669408349,-0.801081851355889,-0.653979487460808,0.0375261132385412,,,,,,,,,
3,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.461130341383128,-0.837806328647611,-0.0844543541186445,0.192181626155349,,,,,,,,,
4,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.558300930426853,-0.823793626876616,-0.29280823397709,0.135455457372328,,,,,,,,,
4,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.760100146159141,-0.842931785777335,-0.677268506540947,0.0422610406215275,,,,,,,,,
4,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.558108063500417,-0.82364807010964,-0.292568056891193,0.135479595208787,,,,,,,,,
5,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.466839522730327,-0.741426612300912,-0.192252433159742,0.140095453862543,,,,,,,,,
5,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.568974198368272,-0.680035846392141,-0.457912550344404,0.0566641061346266,,,,,,,,,
5,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.467632804511276,-0.742647145840956,-0.192618463181597,0.140313439453918,,,,,,,,,
6,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.642581654829685,-0.998603207630929,-0.286560102028441,0.18164364938839,,,,,,,,,
6,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.558981330030475,-0.663315251707951,-0.454647408353,0.0532315926925895,,,,,,,,,
6,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.642196905528765,-0.998850948568496,-0.285542862489034,0.181966348489659,,,,,,,,,
7,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.469071933811281,-0.80814731279078,-0.129996554831782,0.172997642336479,,,,,,,,,
7,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.703348980218911,-0.808306696645972,-0.59839126379185,0.0535498553199289,,,,,,,,,
7,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.470162768585389,-0.809627214294747,-0.130698322876031,0.173196145770081,,,,,,,,,
