scenario,method,component,interval_type,n_success,bias,bias_mcse,rmse,coverage,coverage_mcse,mean_interval_width,mean_estimate,true_log_rr,mean_rhat,max_rhat,median_ess_bulk,total_divergences,total_max_treedepth_hits,n_rep_requested,n_failed,status
aligned,Aligned NB,large_scale_comparison,Wald,500,0.0230190148122066,0.00988358626433429,0.221979342479765,0.828,0.0168769665520792,0.598377455160778,-0.574817985943414,-0.597837000755621,,,,,,500,0,large_scale_comparison
aligned,BEACON-Stan,bayesian_validation,credible,100,0.0438726384376092,0.0112863967852507,0.120564094532721,0.93,0.0255147016443461,0.503399481230365,-0.553964362318011,-0.597837000755621,1.00575475137466,1.03475274942754,571.421797795945,134,0,100,0,bayesian_validation
aligned,GAM,large_scale_comparison,Wald,500,0.0557200526625453,0.00852112849612616,0.198335397903692,0.354,0.0213861637513604,0.193903420367308,-0.542116948093075,-0.597837000755621,,,,,,500,0,large_scale_comparison
aligned,ITS,large_scale_comparison,Wald,500,0.022047193179421,0.00990285021103462,0.222308869449428,0.83,0.016798809481627,0.5981778434319,-0.5757898075762,-0.597837000755621,,,,,,500,0,large_scale_comparison
phase_and_ascertainment,Aligned NB,large_scale_comparison,Wald,500,-0.116833598691308,0.0102967388722947,0.257983492987187,0.776,0.0186453211289052,0.622907535255859,-0.714670599446929,-0.597837000755621,,,,,,500,0,large_scale_comparison
phase_and_ascertainment,BEACON-Stan,bayesian_validation,credible,100,-0.116909963969125,0.0123995084819682,0.169967564329515,0.87,0.0336303434416005,0.54464239002525,-0.714746964724746,-0.597837000755621,1.00471526539379,1.01800992657088,640.258479957227,21,0,100,0,bayesian_validation
phase_and_ascertainment,GAM,large_scale_comparison,Wald,500,-0.0370720218549838,0.00814490236053426,0.185681750856868,0.402,0.0219269696948758,0.202622817538866,-0.634909022610604,-0.597837000755621,,,,,,500,0,large_scale_comparison
phase_and_ascertainment,ITS,large_scale_comparison,Wald,500,-0.0793999320194043,0.00991558968743256,0.235298724413449,0.824,0.017030795636141,0.634102346083878,-0.677236932775025,-0.597837000755621,,,,,,500,0,large_scale_comparison
phase_and_confounding,Aligned NB,large_scale_comparison,Wald,500,0.171594285039194,0.00464264250031287,0.200499648931319,0.302,0.0205327056181108,0.254034016893428,-0.426242715716426,-0.597837000755621,,,,,,500,0,large_scale_comparison
phase_and_confounding,BEACON-Stan,bayesian_validation,credible,100,0.112942590518594,0.00900721266176271,0.144180050168317,0.68,0.0466476151587624,0.33258059274425,-0.484894410237027,-0.597837000755621,1.00361991729517,1.01941930764744,736.454987498248,15,0,100,0,bayesian_validation
phase_and_confounding,GAM,large_scale_comparison,Wald,500,0.145315213147716,0.00565341176383856,0.192522939914569,0.296,0.0204148965219028,0.155023516982294,-0.452521787607905,-0.597837000755621,,,,,,500,0,large_scale_comparison
phase_and_confounding,ITS,large_scale_comparison,Wald,500,0.190021153472366,0.00449157661118613,0.214883677215352,0.242,0.0191539029965174,0.258349593889633,-0.407815847283254,-0.597837000755621,,,,,,500,0,large_scale_comparison
phase_shift,Aligned NB,large_scale_comparison,Wald,500,0.0182725991569237,0.0105277084446991,0.235880007171331,0.792,0.0181513635851415,0.591983551134659,-0.579564401598697,-0.597837000755621,,,,,,500,0,large_scale_comparison
phase_shift,BEACON-Stan,bayesian_validation,credible,100,0.0524197911046724,0.013069930274233,0.140211694089385,0.89,0.031288975694324,0.5130629778124,-0.545417209650948,-0.597837000755621,1.00487941674626,1.01579742094814,602.341660929811,29,0,100,0,bayesian_validation
phase_shift,GAM,large_scale_comparison,Wald,500,0.0940465442205512,0.00758356194346877,0.193758736430881,0.35,0.0213307290077015,0.194186566363203,-0.503790456535069,-0.597837000755621,,,,,,500,0,large_scale_comparison
phase_shift,ITS,large_scale_comparison,Wald,500,0.0508076070119911,0.00998671437979328,0.22879884291221,0.796,0.0180213207063189,0.604036362741896,-0.547029393743629,-0.597837000755621,,,,,,500,0,large_scale_comparison
