rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,error,modulation_amplitude,sigma_series_estimate,schedule,covered,interval_width
1,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.227385291833094,-0.483072561269436,0.0283019776032477,0.130452688487929,,,,,,,,,,,,,FALSE,0.511374538872683
1,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.379921084163522,-0.478382758703551,-0.281459409623493,0.0502355482347088,,,,,,,,,,,,,FALSE,0.196923349080058
1,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.228785581607765,-0.484865041332938,0.0272938781174083,0.130652785574068,,,,,,,,,,,,,FALSE,0.512158919450347
2,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.866654054666929,-1.18839392993601,-0.544914179397853,0.164152997586263,,,,,,,,,,,,,TRUE,0.643479750538152
2,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.350889555809592,-0.446288589111947,-0.255490522507236,0.0486729761746712,,,,,,,,,,,,,FALSE,0.190798066604711
2,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.867902468665546,-1.18948482674167,-0.546320110589419,0.164072631671493,,,,,,,,,,,,,TRUE,0.643164716152253
3,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.465350167704276,-0.841404546036712,-0.0892957893718396,0.191864478741039,,,,,,,,,,,,,TRUE,0.752108756664873
3,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.727530669408349,-0.801081851355889,-0.653979487460808,0.0375261132385412,,,,,,,,,,,,,FALSE,0.147102363895081
3,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.461130341383128,-0.837806328647611,-0.0844543541186445,0.192181626155349,,,,,,,,,,,,,TRUE,0.753351974528967
4,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.558300930426853,-0.823793626876616,-0.29280823397709,0.135455457372328,,,,,,,,,,,,,TRUE,0.530985392899526
4,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.760100146159141,-0.842931785777335,-0.677268506540947,0.0422610406215275,,,,,,,,,,,,,FALSE,0.165663279236388
4,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.558108063500417,-0.82364807010964,-0.292568056891193,0.135479595208787,,,,,,,,,,,,,TRUE,0.531080013218447
5,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.466839522730327,-0.741426612300912,-0.192252433159742,0.140095453862543,,,,,,,,,,,,,TRUE,0.54917417914117
5,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.568974198368272,-0.680035846392141,-0.457912550344404,0.0566641061346266,,,,,,,,,,,,,TRUE,0.222123296047736
5,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.467632804511276,-0.742647145840956,-0.192618463181597,0.140313439453918,,,,,,,,,,,,,TRUE,0.550028682659359
6,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.642581654829685,-0.998603207630929,-0.286560102028441,0.18164364938839,,,,,,,,,,,,,TRUE,0.712043105602488
6,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.558981330030475,-0.663315251707951,-0.454647408353,0.0532315926925895,,,,,,,,,,,,,TRUE,0.208667843354951
6,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.642196905528765,-0.998850948568496,-0.285542862489034,0.181966348489659,,,,,,,,,,,,,TRUE,0.713308086079461
7,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.469071933811281,-0.80814731279078,-0.129996554831782,0.172997642336479,,,,,,,,,,,,,TRUE,0.678150757958998
7,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.703348980218911,-0.808306696645972,-0.59839126379185,0.0535498553199289,,,,,,,,,,,,,FALSE,0.209915432854122
7,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.470162768585389,-0.809627214294747,-0.130698322876031,0.173196145770081,,,,,,,,,,,,,TRUE,0.678928891418716
8,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.772740740549517,-1.02436292539172,-0.521118555707317,0.128378665735816,,,,,,,,,,,,,TRUE,0.5032443696844
8,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.907345181476349,-1.01898145711024,-0.795708905842461,0.0569572834866774,,,,,,,,,,,,,FALSE,0.223272551267776
8,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.768385793296698,-1.02001749384507,-0.516754092748322,0.128383520687947,,,,,,,,,,,,,TRUE,0.503263401096752
9,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.543434612905372,-0.782321335563709,-0.304547890247036,0.121880980948131,,,,,,,,,,,,,TRUE,0.477773445316674
9,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.384223460912579,-0.446933612844978,-0.321513308980181,0.0319949754757137,,,,,,,,,,,,,FALSE,0.125420303864798
9,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.54072276877545,-0.779861665098171,-0.30158387245273,0.12200964098098,,,,,,,,,,,,,TRUE,0.478277792645442
10,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.754936709389275,-1.02708264282047,-0.482790775958084,0.138849966036322,,,,,,,,,,,,,TRUE,0.544291866862382
10,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.619799623183491,-0.732160861691157,-0.507438384675825,0.0573271625039113,,,,,,,,,,,,,TRUE,0.224722477015332
10,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.749911823386119,-1.02206297957429,-0.477760667197945,0.138852630708252,,,,,,,,,,,,,TRUE,0.544302312376349
11,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.345934811560233,-0.701859300626837,0.0099896775063707,0.181594127074798,,,,,,,,,,,,,TRUE,0.711848978133208
11,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.678765391639195,-0.758214556928584,-0.599316226349805,0.0405352884129539,,,,,,,,,,,,,FALSE,0.158898330578779
11,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.345483384275881,-0.70190630944433,0.0109395408925675,0.181848431208392,,,,,,,,,,,,,TRUE,0.712845850336898
12,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.395863617850043,-0.632755248878861,-0.158971986821225,0.120863077055519,,,,,,,,,,,,,TRUE,0.473783262057636
12,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.511615263003127,-0.585286946914486,-0.437943579091767,0.0375875938323264,,,,,,,,,,,,,FALSE,0.147343367822719
12,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.395131986229294,-0.632160095311461,-0.158103877147128,0.120932708715391,,,,,,,,,,,,,TRUE,0.474056218164333
13,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.566719115874938,-0.843636665697043,-0.289801566052833,0.141284464194951,,,,,,,,,,,,,TRUE,0.55383509964421
13,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.442299007825202,-0.547979388685076,-0.336618626965327,0.0539185616632011,,,,,,,,,,,,,FALSE,0.211360761719748
13,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.564697587157814,-0.841733669709715,-0.287661504605912,0.141344940077501,,,,,,,,,,,,,TRUE,0.554072165103802
14,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.54537342865597,-0.843701822161455,-0.247045035150485,0.152208364033411,,,,,,,,,,,,,TRUE,0.59665678701097
14,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.646000784987733,-0.756333928638417,-0.535667641337048,0.0562924202299412,,,,,,,,,,,,,TRUE,0.220666287301369
14,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.544079883964943,-0.842886191108855,-0.245273576821031,0.152452197522404,,,,,,,,,,,,,TRUE,0.597612614287824
15,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.319341232500328,-0.66764642346356,0.0289639584629042,0.177706730083282,,,,,,,,,,,,,TRUE,0.696610381926465
15,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.405793512089877,-0.521806192436035,-0.28978083174372,0.0591901430337541,,,,,,,,,,,,,FALSE,0.232025360692316
15,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.316556888781251,-0.664886461940497,0.0317726843779962,0.177719169979208,,,,,,,,,,,,,TRUE,0.696659146318494
16,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.385148143514892,-0.58525212417137,-0.185044162858415,0.102093867681876,,,,,,,,,,,,,FALSE,0.400207961312955
16,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.705909464028132,-0.806350006451136,-0.605468921605127,0.0512451747056145,,,,,,,,,,,,,FALSE,0.200881084846009
16,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.385613146999728,-0.585730405045377,-0.185495888954078,0.102100641860025,,,,,,,,,,,,,FALSE,0.400234516091299
17,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.45659236723784,-0.729930130448088,-0.183254604027591,0.139458042454208,,,,,,,,,,,,,TRUE,0.546675526420497
17,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.259329586745933,-0.366399888099056,-0.15225928539281,0.0546277047720015,,,,,,,,,,,,,FALSE,0.214140602706246
17,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.453738095956591,-0.727170461642651,-0.180305730270531,0.1395063090235,,,,,,,,,,,,,TRUE,0.54686473137212
18,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.612398528086576,-0.941294709005897,-0.283502347167254,0.167804173938429,,,,,,,,,,,,,TRUE,0.657792361838643
18,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.69675011608262,-0.820192721327641,-0.573307510837599,0.0629809210433782,,,,,,,,,,,,,TRUE,0.246885210490042
18,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.613048863991069,-0.941900887030894,-0.284196840951244,0.167781644408074,,,,,,,,,,,,,TRUE,0.65770404607965
19,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.763566695607345,-0.996075901858213,-0.531057489356476,0.118627146046362,,,,,,,,,,,,,TRUE,0.465018412501737
19,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.67850054412344,-0.748486353087735,-0.608514735159145,0.0357070453899465,,,,,,,,,,,,,FALSE,0.13997161792859
19,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.765894899366808,-0.998175259432055,-0.533614539301561,0.118510387788391,,,,,,,,,,,,,TRUE,0.464560720130494
20,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.312559555850324,-0.615615478597032,-0.00950363310361635,0.15462036874832,,,,,,,,,,,,,TRUE,0.606111845493416
20,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.644974297516724,-0.755477089426599,-0.534471505606849,0.0563789754642218,,,,,,,,,,,,,TRUE,0.22100558381975
20,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.312760694222711,-0.615796301421289,-0.00972508702413283,0.154610003672744,,,,,,,,,,,,,TRUE,0.606071214397156
21,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.313866710930013,-0.55055238300365,-0.0771810388563762,0.120757995955937,,,,,,,,,,,,,FALSE,0.473371344147274
21,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.506902042880522,-0.576349203268221,-0.437454882492824,0.0354322246876013,,,,,,,,,,,,,FALSE,0.138894320775397
21,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.312906969862527,-0.549716678830758,-0.076097260894297,0.120821280085832,,,,,,,,,,,,,FALSE,0.473619417936461
22,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.452326695702988,-1.09385757106394,0.189204179657965,0.327311671102527,,,,,,,,,,,,,TRUE,1.28306175072191
22,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.57729419146472,-0.694034858524467,-0.460553524404973,0.0595615648264015,,,,,,,,,,,,,TRUE,0.233481334119494
22,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.447755898999156,-1.08968910140456,0.194177303406251,0.327516940002759,,,,,,,,,,,,,TRUE,1.28386640481081
23,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.776102906116383,-1.28669542471674,-0.265510387516031,0.260506387040996,,,,,,,,,,,,,TRUE,1.02118503720071
23,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.655151665725385,-0.729353356719017,-0.580949974731752,0.0378580056089961,,,,,,,,,,,,,TRUE,0.148403381987265
23,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.77435511077481,-1.28474349325422,-0.263966728295403,0.260402235958881,,,,,,,,,,,,,TRUE,1.02077676495881
24,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.326978075385338,-0.612470114755088,-0.0414860360155893,0.145659203760076,,,,,,,,,,,,,TRUE,0.570984078739498
24,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.478034797188033,-0.583310993912409,-0.372758600463657,0.0537123452675388,,,,,,,,,,,,,FALSE,0.210552393448752
24,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.32651195443159,-0.612116909683646,-0.0409069991795345,0.14571681390411,,,,,,,,,,,,,TRUE,0.571209910504111
25,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.520875904204774,-0.713841829693003,-0.327909978716545,0.0984520028001168,,,,,,,,,,,,,TRUE,0.385931850976458
25,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.229609355644353,-0.294340103363247,-0.164878607925459,0.0330258916933131,,,,,,,,,,,,,FALSE,0.129461495437787
25,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.51962291257461,-0.712822497854559,-0.326423327294661,0.0985712169795659,,,,,,,,,,,,,TRUE,0.386399170559898
26,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.929984504150429,-1.24961434216767,-0.610354666133189,0.16307644796798,,,,,,,,,,,,,FALSE,0.639259676034482
26,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.53987933688055,-0.613575145839505,-0.466183527921595,0.0375999025300792,,,,,,,,,,,,,TRUE,0.147391617917911
26,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.927403595510549,-1.24701614310069,-0.607791047920403,0.163067626321503,,,,,,,,,,,,,FALSE,0.639225095180291
27,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.426821138778533,-0.604126260624388,-0.249516016932677,0.0904617968601304,,,,,,,,,,,,,TRUE,0.354610243691711
27,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.524528408980024,-0.590388575727876,-0.458668242232171,0.0336021258917615,,,,,,,,,,,,,FALSE,0.131720333495705
27,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.423437066482308,-0.600951835713119,-0.245922297251498,0.090568759811638,,,,,,,,,,,,,TRUE,0.355029538461621
28,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.444849755039412,-0.743904157598719,-0.145795352480104,0.152578776815973,,,,,,,,,,,,,TRUE,0.598108805118615
28,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.926450972116292,-1.05439144439612,-0.79851049983646,0.0652757511631799,,,,,,,,,,,,,FALSE,0.255880944559665
28,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.442383091291836,-0.741526757980114,-0.143239424603558,0.152624319738917,,,,,,,,,,,,,TRUE,0.598287333376556
29,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.62624295888138,-0.925178977344806,-0.327306940417954,0.152518376767054,,,,,,,,,,,,,TRUE,0.597872036926852
29,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.612917124958188,-0.685034401548869,-0.540799848367506,0.0367945288727967,,,,,,,,,,,,,TRUE,0.144234553181363
29,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.622369238421016,-0.921155368071589,-0.323583108770443,0.152441902882945,,,,,,,,,,,,,TRUE,0.597572259301146
30,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.750945748570272,-1.02224084995897,-0.479650647181569,0.138415868055461,,,,,,,,,,,,,TRUE,0.542590202777406
30,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.397171832346884,-0.471248904406832,-0.323094760286937,0.0377944245203814,,,,,,,,,,,,,FALSE,0.148154144119895
30,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.749568659684333,-1.02084300987401,-0.478294309494661,0.138405280709017,,,,,,,,,,,,,TRUE,0.542548700379345
31,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.435299355017367,-0.645894998417127,-0.224703711617607,0.107446756836612,,,,,,,,,,,,,TRUE,0.42119128679952
31,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.49496051871325,-0.564972733086049,-0.42494830434045,0.0357205175371425,,,,,,,,,,,,,FALSE,0.140024428745598
31,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.437915753979254,-0.648456236267096,-0.227375271691411,0.107418613412164,,,,,,,,,,,,,TRUE,0.421080964575685
32,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.395487845806407,-0.761702426050436,-0.0292732655623787,0.186844173593892,,,,,,,,,,,,,TRUE,0.732429160488057
32,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.158760132610568,-0.276519094262734,-0.041001170958402,0.0600811028837581,,,,,,,,,,,,,FALSE,0.235517923304332
32,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.394300096429319,-0.760777615817056,-0.027822577041583,0.186978326218233,,,,,,,,,,,,,TRUE,0.732955038775473
33,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.5650171024704,-0.944456258305818,-0.185577946634981,0.193591406038479,,,,,,,,,,,,,TRUE,0.758878311670838
33,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.29837920726931,-0.418120759519256,-0.178637655019364,0.0610926286989521,,,,,,,,,,,,,FALSE,0.239483104499892
33,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.56533459828022,-0.944814411204275,-0.185854785356165,0.193612149451049,,,,,,,,,,,,,TRUE,0.758959625848111
34,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.386800538683949,-0.649591969293797,-0.1240091080741,0.134077260515229,,,,,,,,,,,,,TRUE,0.525582861219697
34,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.506099598950279,-0.604074578296883,-0.408124619603675,0.0499872343605123,,,,,,,,,,,,,TRUE,0.195949958693208
34,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.388140107288694,-0.650980111298184,-0.125300103279204,0.134102042861985,,,,,,,,,,,,,TRUE,0.52568000801898
35,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.388157854047536,-0.632956399306431,-0.143359308788641,0.124897216968824,,,,,,,,,,,,,TRUE,0.48959709051779
35,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.591382784394885,-0.692419159420216,-0.490346409369554,0.0515491709312911,,,,,,,,,,,,,TRUE,0.202072750050661
35,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.387079231487514,-0.631670609759472,-0.142487853215556,0.124791519526509,,,,,,,,,,,,,TRUE,0.489182756543916
36,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.646227398650923,-0.821751545065389,-0.470703252236457,0.089553135925748,,,,,,,,,,,,,TRUE,0.351048292828932
36,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.406489398216741,-0.503166690253239,-0.309812106180242,0.0493251489982135,,,,,,,,,,,,,FALSE,0.193354584072997
36,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.644918693073703,-0.820450260772197,-0.469387125375208,0.0895569222951502,,,,,,,,,,,,,TRUE,0.351063135396989
37,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.578208340905667,-0.925917046997698,-0.230499634813636,0.177402401067363,,,,,,,,,,,,,TRUE,0.695417412184062
37,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.854391220634748,-0.963259406882271,-0.745523034387225,0.0555449929834302,,,,,,,,,,,,,FALSE,0.217736372495046
37,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.580717286650847,-0.928704408125524,-0.232730165176171,0.177544449731978,,,,,,,,,,,,,TRUE,0.695974242949353
38,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.663677104943709,-0.930943373929329,-0.396410835958088,0.136360341319194,,,,,,,,,,,,,TRUE,0.534532537971241
38,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.767997267758245,-0.879120560146537,-0.656873975369952,0.0566955573409655,,,,,,,,,,,,,FALSE,0.222246584776585
38,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.662773286748245,-0.930271446381975,-0.395275127114516,0.136478652874352,,,,,,,,,,,,,TRUE,0.534996319267459
39,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.478216103565521,-0.737156835027288,-0.219275372103754,0.132112618092738,,,,,,,,,,,,,TRUE,0.517881462923534
39,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.510649600651085,-0.581380661473244,-0.439918539828926,0.0360872759296729,,,,,,,,,,,,,FALSE,0.141462121644318
39,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.480688883641805,-0.739419358689709,-0.221958408593901,0.132005344412196,,,,,,,,,,,,,TRUE,0.517460950095808
40,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.363314468373498,-0.699840271660883,-0.0267886650861127,0.171696838411931,,,,,,,,,,,,,TRUE,0.673051606574771
40,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.6204468798071,-0.703688950203367,-0.537204809410834,0.0424704440797279,,,,,,,,,,,,,TRUE,0.166484140792533
40,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.357158977256908,-0.693435838459148,-0.0208821160546667,0.171569827144,,,,,,,,,,,,,TRUE,0.672553722404482
41,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.315736462853277,-0.661060819741173,0.0295878940346191,0.176185896371376,,,,,,,,,,,,,TRUE,0.690648713775792
41,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.334779057610865,-0.434331490026579,-0.235226625195152,0.0507920573549561,,,,,,,,,,,,,FALSE,0.199104864831428
